host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,cluster
t,moderate,f,1,Bernal Heights,37.73355,-1.22431,Guest suite,Entire home/apt,4,1,0,1,Real Bed,3,310,99.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,1
f,flexible,f,25,North Beach,37.79929,-12.24063,Bed and breakfast,Private room,2,0,1,1,Real Bed,1,130,91.0,10.0,9.0,10.0,10.0,9.0,9.0,95.0,1
f,strict_14_with_grace_period,f,4,Bernal Heights,37.73366,-12.24271,Apartment,Entire home/apt,4,1,1,2,Real Bed,31,37,88.0,9.0,9.0,10.0,9.0,8.0,9.0,100.0,1
t,moderate,f,2,Mission,37.75419,-12.241589999999999,Apartment,Entire home/apt,4,1,2,2,Real Bed,3,61,97.0,10.0,10.0,10.0,10.0,10.0,9.0,290.0,1
t,moderate,f,1,Bernal Heights,37.74089,-12.24121,Apartment,Entire home/apt,4,1,2,2,Real Bed,2,132,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,1
t,moderate,f,3,South of Market,37.775929999999995,-12.24142,Apartment,Private room,4,1,1,2,Real Bed,1,104,100.0,10.0,10.0,10.0,10.0,10.0,10.0,176.0,1
f,strict_14_with_grace_period,f,1,Mission,37.75972,-12.24235,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,128,98.0,10.0,10.0,10.0,10.0,10.0,10.0,199.0,1
f,strict_14_with_grace_period,f,1,Castro/Upper Market,37.75889,-12.24375,Apartment,Entire home/apt,3,2,2,2,Real Bed,30,6,93.0,9.0,9.0,10.0,10.0,10.0,9.0,126.0,1
t,flexible,f,1,Bernal Heights,37.73612,-12.24111,House,Private room,2,1,1,1,Real Bed,4,195,98.0,10.0,10.0,10.0,10.0,9.0,10.0,89.0,1
f,flexible,f,25,North Beach,37.79898,-12.24062,Bed and breakfast,Private room,2,0,1,2,Real Bed,1,55,91.0,10.0,9.0,10.0,10.0,9.0,9.0,83.0,1
t,moderate,f,4,Western Addition,37.77868,-12.24348,Guest suite,Entire home/apt,2,1,1,1,Real Bed,3,190,99.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0,1
f,strict_14_with_grace_period,f,2,Bayview,37.73126,-12.23987,House,Private room,2,1,1,1,Real Bed,1,50,95.0,9.0,9.0,10.0,10.0,9.0,9.0,109.0,1
t,moderate,t,3,Pacific Heights,3.7789099999999998,-12.24346,House,Private room,2,1,1,1,Real Bed,1,472,99.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,1
t,strict_14_with_grace_period,f,1,Mission,37.75865,-12.24253,Apartment,Entire home/apt,1,1,1,1,Real Bed,30,31,96.0,10.0,9.0,10.0,10.0,10.0,9.0,160.0,1
f,strict_14_with_grace_period,f,4,Outer Sunset,37.75797,-1.22501,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,97,89.0,9.0,10.0,10.0,10.0,9.0,9.0,90.0,1
f,strict_14_with_grace_period,f,101,Noe Valley,37.749190000000006,-12.24348,Condominium,Entire home/apt,3,1,1,2,Real Bed,30,7,89.0,10.0,9.0,10.0,10.0,10.0,9.0,192.0,1
f,strict_14_with_grace_period,t,1,Presidio Heights,37.785059999999994,-12.24493,Apartment,Private room,1,1,1,1,Real Bed,30,39,100.0,10.0,10.0,10.0,10.0,10.0,10.0,67.0,1
